source,target,diagonal,auroc,auprc,ece,prr,acc_at_80,n_target,target_pos_rate
math500_qwen7b,math500_qwen7b,True,0.9090256880368282,0.9680658173134304,0.06901975324749947,0.8923763257400023,0.835,500,0.722
math500_qwen7b,math500_llama8b,False,0.745703544575725,0.8222641201603325,0.20186943800747398,0.588295221126853,0.6775,500,0.608
math500_qwen7b,gsm8k_qwen7b,False,0.6490589377427033,0.7802282392903114,0.21379955054188068,0.3646281353083607,0.7023696682464455,1319,0.6724791508718726
math500_qwen7b,gsm8k_llama8b,False,0.5967897051803168,0.5336865071739354,0.41625244121283994,0.19297028290500462,0.4881516587677725,1319,0.45564821834723274
math500_qwen7b,gpqa_diamond_qwen7b,False,0.7468853820598006,0.7165732570675414,0.19432325017723173,0.563404602645789,0.5063291139240507,198,0.43434343434343436
math500_qwen7b,gpqa_diamond_llama8b,False,0.5981991525423729,0.5255625074245531,0.2742085213387253,0.2537599877387922,0.43670886075949367,198,0.40404040404040403
math500_qwen7b,arc_challenge_qwen7b,False,0.6147521160822249,0.7777086769728156,0.21067050217615868,0.2700342949241145,0.7342582710779082,1172,0.7056313993174061
math500_qwen7b,arc_challenge_llama8b,False,0.54892421011824,0.6992356458541109,0.254869091925259,0.14186556265682096,0.6648879402347919,1172,0.6569965870307167
math500_llama8b,math500_qwen7b,False,0.7581259092449032,0.8923459068018981,0.153073268532753,0.6370162611198217,0.7975,500,0.722
math500_llama8b,math500_llama8b,True,0.8094454887218046,0.8892345018299626,0.108261312097311,0.7415431457137502,0.68,500,0.608
math500_llama8b,gsm8k_qwen7b,False,0.6404155705874985,0.7839881530358437,0.23025192223189908,0.37462246196315097,0.6976303317535545,1319,0.6724791508718726
math500_llama8b,gsm8k_llama8b,False,0.5486260132833393,0.5139063946812701,0.10929641478932924,0.14178433621848757,0.46255924170616114,1319,0.45564821834723274
math500_llama8b,gpqa_diamond_qwen7b,False,0.7457433554817275,0.6688632493706312,0.12765232292991696,0.48634674034130587,0.4810126582278481,198,0.43434343434343436
math500_llama8b,gpqa_diamond_llama8b,False,0.6077330508474577,0.5264382030822834,0.2255179848183285,0.2524848174491213,0.43670886075949367,198,0.40404040404040403
math500_llama8b,arc_challenge_qwen7b,False,0.5777141054623837,0.7515574042385444,0.32126021041906744,0.173985077437054,0.7214514407684098,1172,0.7056313993174061
math500_llama8b,arc_challenge_llama8b,False,0.5125670349550946,0.6523588816799167,0.3659172456190244,-0.024033289916129384,0.6606189967982924,1172,0.6569965870307167
gsm8k_qwen7b,math500_qwen7b,False,0.6269355706570477,0.7981587606325609,0.1565593104958534,0.2970796120554349,0.75,500,0.722
gsm8k_qwen7b,math500_llama8b,False,0.5584049409237379,0.6784645280821526,0.1130985730290413,0.20182414984044772,0.61,500,0.608
gsm8k_qwen7b,gsm8k_qwen7b,True,0.7345348448787006,0.8525176936980979,0.1451731192695091,0.582939832966699,0.7450236966824645,1319,0.6724791508718726
gsm8k_qwen7b,gsm8k_llama8b,False,0.6271441747505319,0.5761932412113749,0.06936534744397178,0.2822819055159744,0.5061611374407583,1319,0.45564821834723274
gsm8k_qwen7b,gpqa_diamond_qwen7b,False,0.4994808970099668,0.4748682198818204,0.04786946993283556,0.06922583679198431,0.4177215189873418,198,0.43434343434343436
gsm8k_qwen7b,gpqa_diamond_llama8b,False,0.503177966101695,0.44921901148379473,0.07952409847216171,0.075348607816363,0.3987341772151899,198,0.40404040404040403
gsm8k_qwen7b,arc_challenge_qwen7b,False,0.5614496258521284,0.7375677129052532,0.14042560560406275,0.12202901171036906,0.7225186766275347,1172,0.7056313993174061
gsm8k_qwen7b,arc_challenge_llama8b,False,0.48888835045551465,0.6490120537224556,0.12907125411790385,-0.03443917299943377,0.6424759871931697,1172,0.6569965870307167
gsm8k_llama8b,math500_qwen7b,False,0.6330835608521493,0.7948210529976797,0.2188344975709915,0.2850118685123819,0.7625,500,0.722
gsm8k_llama8b,math500_llama8b,False,0.6358250537056929,0.7111815434776132,0.10486731374263758,0.30381310985081467,0.6575,500,0.608
gsm8k_llama8b,gsm8k_qwen7b,False,0.6805973109524406,0.8001140413520849,0.1693331768243398,0.424991504836594,0.728909952606635,1319,0.6724791508718726
gsm8k_llama8b,gsm8k_llama8b,True,0.599621568509309,0.5398600154652653,0.04747609445052764,0.2046319678645068,0.4985781990521327,1319,0.45564821834723274
gsm8k_llama8b,gpqa_diamond_qwen7b,False,0.6683970099667773,0.5463340449940299,0.06867433256573141,0.22661511348600125,0.4620253164556962,198,0.43434343434343436
gsm8k_llama8b,gpqa_diamond_llama8b,False,0.5774364406779662,0.47186094208396795,0.09896041498039704,0.14660516784226713,0.4240506329113924,198,0.40404040404040403
gsm8k_llama8b,arc_challenge_qwen7b,False,0.5423216444981862,0.7241165047236138,0.2024067579784491,0.06862602762933714,0.7235859124866596,1172,0.7056313993174061
gsm8k_llama8b,arc_challenge_llama8b,False,0.5163904503456742,0.6657042382085783,0.15379153059814565,0.02551114246713843,0.6670224119530416,1172,0.6569965870307167
gpqa_diamond_qwen7b,math500_qwen7b,False,0.5787879391777436,0.7411548257590691,0.21976581975817686,0.06399381766929027,0.7725,500,0.722
gpqa_diamond_qwen7b,math500_llama8b,False,0.5588412996777659,0.6553221273655345,0.273234095364809,0.13856023311988638,0.65,500,0.608
gpqa_diamond_qwen7b,gsm8k_qwen7b,False,0.3871886613219759,0.6259061001524007,0.3175880501923732,-0.19206291088016447,0.6303317535545023,1319,0.6724791508718726
gpqa_diamond_qwen7b,gsm8k_llama8b,False,0.4735630958615863,0.45175044096476336,0.5099833212719441,-0.019710744194392806,0.44454976303317534,1319,0.45564821834723274
gpqa_diamond_qwen7b,gpqa_diamond_qwen7b,True,0.8410506644518274,0.8588968620007251,0.05333817983516539,0.7799671880951305,0.5189873417721519,198,0.43434343434343436
gpqa_diamond_qwen7b,gpqa_diamond_llama8b,False,0.6524364406779661,0.5762916881841851,0.14577648066210022,0.3502452166661031,0.43037974683544306,198,0.40404040404040403
gpqa_diamond_qwen7b,arc_challenge_qwen7b,False,0.538184112296935,0.7223974754432885,0.30650737956674834,0.061992210442520145,0.7203842049092849,1172,0.7056313993174061
gpqa_diamond_qwen7b,arc_challenge_llama8b,False,0.5424985462298895,0.6840571745165718,0.25328771598357386,0.09133757973652737,0.6808964781216649,1172,0.6569965870307167
gpqa_diamond_llama8b,math500_qwen7b,False,0.5184838278961319,0.7049688124688289,0.13208540123701096,-0.09555746345451913,0.74,500,0.722
gpqa_diamond_llama8b,math500_llama8b,False,0.5802228786251342,0.6565378783061993,0.03285190147161488,0.14286267217118206,0.6325,500,0.608
gpqa_diamond_llama8b,gsm8k_qwen7b,False,0.4754660946177294,0.7112317997455357,0.11505551077001827,0.11420088641895527,0.6464454976303318,1319,0.6724791508718726
gpqa_diamond_llama8b,gsm8k_llama8b,False,0.4478909338660264,0.4454606075059023,0.09979151554230584,-0.041511974219106726,0.4312796208530806,1319,0.45564821834723274
gpqa_diamond_llama8b,gpqa_diamond_qwen7b,False,0.7810423588039868,0.7375134332655847,0.09284827986148872,0.6047617760878515,0.4936708860759494,198,0.43434343434343436
gpqa_diamond_llama8b,gpqa_diamond_llama8b,True,0.728707627118644,0.6649496522607359,0.10893408924040165,0.5118808997186947,0.4430379746835443,198,0.40404040404040403
gpqa_diamond_llama8b,arc_challenge_qwen7b,False,0.47986961779086273,0.6965443457619666,0.17451792257383422,-0.04214804786618625,0.6979722518676628,1172,0.7056313993174061
gpqa_diamond_llama8b,arc_challenge_llama8b,False,0.50264263100084,0.6637242004100488,0.11500317252434969,0.017825087348643024,0.6606189967982924,1172,0.6569965870307167
arc_challenge_qwen7b,math500_qwen7b,False,0.6600171386436557,0.8190568601623145,0.09739851838350293,0.37634123849743156,0.7775,500,0.722
arc_challenge_qwen7b,math500_llama8b,False,0.6228685553168636,0.6804170013001873,0.07113749271631246,0.212045291052595,0.6575,500,0.608
arc_challenge_qwen7b,gsm8k_qwen7b,False,0.6209758236252035,0.7760424443794023,0.10803812328751468,0.34497233274186945,0.6890995260663507,1319,0.6724791508718726
arc_challenge_qwen7b,gsm8k_llama8b,False,0.5541205697097225,0.5056352376049174,0.08854483692730986,0.12457728133850066,0.46161137440758293,1319,0.45564821834723274
arc_challenge_qwen7b,gpqa_diamond_qwen7b,False,0.7326619601328904,0.6555482621144096,0.12523430194517576,0.46073754808264944,0.4873417721518987,198,0.43434343434343436
arc_challenge_qwen7b,gpqa_diamond_llama8b,False,0.603707627118644,0.5032286474881256,0.06361552124673671,0.2098637025057925,0.43670886075949367,198,0.40404040404040403
arc_challenge_qwen7b,arc_challenge_qwen7b,True,0.753020345933442,0.8773341026235226,0.13872070994495125,0.6130946948016679,0.7748132337246532,1172,0.7056313993174061
arc_challenge_qwen7b,arc_challenge_llama8b,False,0.5770239710538217,0.7117187880720184,0.14716643051787853,0.18433724273672486,0.6862326574172892,1172,0.6569965870307167
arc_challenge_llama8b,math500_qwen7b,False,0.6292472946850276,0.7911372788186742,0.22133262085914607,0.2722667934600426,0.77,500,0.722
arc_challenge_llama8b,math500_llama8b,False,0.5986506444683136,0.6652991370297159,0.10733708381652829,0.17042096195807585,0.6475,500,0.608
arc_challenge_llama8b,gsm8k_qwen7b,False,0.5271475322560442,0.7141065439194363,0.17184038791266054,0.1345036813829056,0.671090047393365,1319,0.6724791508718726
arc_challenge_llama8b,gsm8k_llama8b,False,0.4946421701991574,0.4623678566009205,0.045000491086238326,0.011502358388832595,0.45687203791469194,1319,0.45564821834723274
arc_challenge_llama8b,gpqa_diamond_qwen7b,False,0.7439264950166112,0.6992185554265453,0.06620162875965385,0.5375352732035368,0.4936708860759494,198,0.43434343434343436
arc_challenge_llama8b,gpqa_diamond_llama8b,False,0.5800317796610169,0.48186531521832726,0.09650474335208087,0.15985850550709574,0.43037974683544306,198,0.40404040404040403
arc_challenge_llama8b,arc_challenge_qwen7b,False,0.6053800185759599,0.7679857333034366,0.20495696823548137,0.23675477438280124,0.7299893276414088,1172,0.7056313993174061
arc_challenge_llama8b,arc_challenge_llama8b,True,0.608574013051625,0.7439801934416643,0.15630876341574018,0.2862956896994886,0.6862326574172892,1172,0.6569965870307167
